"id"	"apptype"	"rank"	"name"	"link"	"created_at"	"updated_at"
1	"free"	1	"Facebook Messenger"	"https://www.appannie.com/apps/ios/app/facebook-messenger/"	"2015-04-01 12:38:40.045546"	"2015-04-01 12:38:56.072504"
2	"paid"	1	"Minecraft – Pocket Edition"	"https://www.appannie.com/apps/ios/app/minecraft-pocket-edition/"	"2015-04-01 12:38:40.067495"	"2015-04-01 12:38:56.080470"
3	"grossing"	1	"Clash of Clans"	"https://www.appannie.com/apps/ios/app/clash-of-clans/"	"2015-04-01 12:38:40.075359"	"2015-04-01 12:38:56.087599"
4	"free"	2	"Facebook"	"https://www.appannie.com/apps/ios/app/facebook/"	"2015-04-01 12:38:40.086391"	"2015-04-01 12:38:56.095047"
5	"paid"	2	"Enlight"	"https://www.appannie.com/apps/ios/app/enlight/"	"2015-04-01 12:38:40.094356"	"2015-04-01 12:38:56.104762"
6	"grossing"	2	"Game of War - Fire Age"	"https://www.appannie.com/apps/ios/app/game-of-war-fire-age/"	"2015-04-01 12:38:40.103384"	"2015-04-01 12:38:56.111530"
7	"free"	3	"Instagram"	"https://www.appannie.com/apps/ios/app/instagram/"	"2015-04-01 12:38:40.111660"	"2015-04-01 12:38:56.119965"
8	"paid"	3	"Five Nights at Freddy's 3"	"https://www.appannie.com/apps/ios/app/five-nights-at-freddys-3/"	"2015-04-01 12:38:40.122913"	"2015-04-01 12:38:56.126988"
9	"grossing"	3	"Candy Crush Saga"	"https://www.appannie.com/apps/ios/app/candy-crush-saga/"	"2015-04-01 12:38:40.133653"	"2015-04-01 12:38:56.134827"
10	"free"	4	"YouTube"	"https://www.appannie.com/apps/ios/app/youtube/"	"2015-04-01 12:38:40.141446"	"2015-04-01 12:38:56.142210"
11	"paid"	4	"Heads Up!"	"https://www.appannie.com/apps/ios/app/heads-up/"	"2015-04-01 12:38:40.149561"	"2015-04-01 12:38:56.151300"
12	"grossing"	4	"Candy Crush Soda Saga"	"https://www.appannie.com/apps/ios/app/candy-crush-soda-saga/"	"2015-04-01 12:38:40.159251"	"2015-04-01 12:38:56.158360"
13	"free"	5	"Snapchat"	"https://www.appannie.com/apps/ios/app/snapchat/"	"2015-04-01 12:38:40.168961"	"2015-04-01 12:38:56.167173"
14	"paid"	5	"Trivia Crack (Ad Free)"	"https://www.appannie.com/apps/ios/app/trivia-crack-ad-free/"	"2015-04-01 12:38:40.177406"	"2015-04-01 12:38:56.174872"
15	"grossing"	5	"Boom Beach"	"https://www.appannie.com/apps/ios/app/boom-beach/"	"2015-04-01 12:38:40.186115"	"2015-04-01 12:38:56.182515"
16	"free"	6	"Pandora Radio"	"https://www.appannie.com/apps/ios/app/pandora-radio/"	"2015-04-01 12:38:40.196227"	"2015-04-01 12:38:56.192059"
17	"paid"	6	"Afterlight"	"https://www.appannie.com/apps/ios/app/573116090/"	"2015-04-01 12:38:40.204949"	"2015-04-01 12:38:56.202904"
18	"grossing"	6	"Big Fish Casino – Free Slots, Vegas Slots  Slot Tournaments! Plus Poker, Cards, 21 and more!"	"https://www.appannie.com/apps/ios/app/big-fish-casino-free-slots-vegas-slots-slot-tournaments-plus-poker-cards-21-and-more/"	"2015-04-01 12:38:40.216071"	"2015-04-01 12:38:56.212499"
19	"free"	7	"Fast  Furious: Legacy"	"https://www.appannie.com/apps/ios/app/fast-furious-legacy/"	"2015-04-01 12:38:40.228680"	"2015-04-01 12:38:56.220420"
20	"paid"	7	"NBA JAM by EA SPORTS™"	"https://www.appannie.com/apps/ios/app/nba-jam-by-ea-sports/"	"2015-04-01 12:38:40.237706"	"2015-04-01 12:38:56.229912"
21	"grossing"	7	"DoubleDown Casino - Free Slots, Video Poker, Blackjack, and More"	"https://www.appannie.com/apps/ios/app/doubledown-casino-free-slots-video-poker-blackjack-and-more/"	"2015-04-01 12:38:40.245639"	"2015-04-01 12:38:56.240551"
22	"free"	8	"Google Maps"	"https://www.appannie.com/apps/ios/app/google-maps/"	"2015-04-01 12:38:40.256770"	"2015-04-01 12:38:56.250334"
23	"paid"	8	"Five Nights at Freddy's"	"https://www.appannie.com/apps/ios/app/five-nights-at-freddys/"	"2015-04-01 12:38:40.266475"	"2015-04-01 12:38:56.259200"
24	"grossing"	8	"Hay Day"	"https://www.appannie.com/apps/ios/app/hay-day/"	"2015-04-01 12:38:40.275497"	"2015-04-01 12:38:56.267828"
25	"free"	9	"iMovie"	"https://www.appannie.com/apps/ios/app/imovie/"	"2015-04-01 12:38:40.284232"	"2015-04-01 12:38:56.276489"
26	"paid"	9	"Geometry Dash"	"https://www.appannie.com/apps/ios/app/geometry-dash/"	"2015-04-01 12:38:40.292929"	"2015-04-01 12:38:56.285031"
27	"grossing"	9	"Slotomania – Free video slots games! Spin  win coins with the Vegas casino experience"	"https://www.appannie.com/apps/ios/app/slotomania-free-video-slots-games-spin-win-coins-with-the-vegas-casino-experience/"	"2015-04-01 12:38:40.302796"	"2015-04-01 12:38:56.292965"
28	"free"	10	"Pages"	"https://www.appannie.com/apps/ios/app/pages/"	"2015-04-01 12:38:40.322144"	"2015-04-01 12:38:56.301753"
29	"paid"	10	"Facetune"	"https://www.appannie.com/apps/ios/app/facetune/"	"2015-04-01 12:38:40.329863"	"2015-04-01 12:38:56.312115"
30	"grossing"	10	"Spotify Music"	"https://www.appannie.com/apps/ios/app/spotify-music/"	"2015-04-01 12:38:40.337495"	"2015-04-01 12:38:56.319472"
31	"free"	11	"Numbers"	"https://www.appannie.com/apps/ios/app/numbers/"	"2015-04-01 12:38:40.344743"	"2015-04-01 12:38:56.326933"
32	"paid"	11	"Color Splash"	"https://www.appannie.com/apps/ios/app/color-splash/"	"2015-04-01 12:38:40.351861"	"2015-04-01 12:38:56.334761"
33	"grossing"	11	"Farm Heroes Saga"	"https://www.appannie.com/apps/ios/app/608206510/"	"2015-04-01 12:38:40.359893"	"2015-04-01 12:38:56.343314"
34	"free"	12	"iTunes U"	"https://www.appannie.com/apps/ios/app/itunes-u/"	"2015-04-01 12:38:40.370336"	"2015-04-01 12:38:56.353189"
35	"paid"	12	"NBA 2K15"	"https://www.appannie.com/apps/ios/app/nba-2k15/"	"2015-04-01 12:38:40.380687"	"2015-04-01 12:38:56.362706"
36	"grossing"	12	"Kim Kardashian: Hollywood"	"https://www.appannie.com/apps/ios/app/kim-kardashian-hollywood/"	"2015-04-01 12:38:40.390153"	"2015-04-01 12:38:56.372577"
37	"free"	13	"Keynote"	"https://www.appannie.com/apps/ios/app/keynote/"	"2015-04-01 12:38:40.398845"	"2015-04-01 12:38:56.381064"
38	"paid"	13	"Five Nights at Freddy's 2"	"https://www.appannie.com/apps/ios/app/five-nights-at-freddys-2/"	"2015-04-01 12:38:40.408933"	"2015-04-01 12:38:56.389231"
39	"grossing"	13	"Summoners War"	"https://www.appannie.com/apps/ios/app/summoners-war/"	"2015-04-01 12:38:40.421059"	"2015-04-01 12:38:56.401343"
40	"free"	14	"GarageBand"	"https://www.appannie.com/apps/ios/app/408709785/"	"2015-04-01 12:38:40.429548"	"2015-04-01 12:38:56.409572"
41	"paid"	14	"Cut the Rope"	"https://www.appannie.com/apps/ios/app/cut-the-rope/"	"2015-04-01 12:38:40.438100"	"2015-04-01 12:38:56.419513"
42	"grossing"	14	"MARVEL Contest of Champions"	"https://www.appannie.com/apps/ios/app/896112560/"	"2015-04-01 12:38:40.447446"	"2015-04-01 12:38:56.428650"
43	"free"	15	"WhatsApp Messenger"	"https://www.appannie.com/apps/ios/app/whatsapp-messenger/"	"2015-04-01 12:38:40.457460"	"2015-04-01 12:38:56.436536"
44	"paid"	15	"Swype"	"https://www.appannie.com/apps/ios/app/916365675/"	"2015-04-01 12:38:40.470501"	"2015-04-01 12:38:56.444415"
45	"grossing"	15	"myVEGAS Slots - Free Las Vegas Casino"	"https://www.appannie.com/apps/ios/app/myvegas-slots-free-las-vegas-casino/"	"2015-04-01 12:38:40.480667"	"2015-04-01 12:38:56.455882"
46	"free"	16	"Spotify Music"	"https://www.appannie.com/apps/ios/app/spotify-music/"	"2015-04-01 12:38:40.490661"	"2015-04-01 12:38:56.464776"
47	"paid"	16	"THE GAME OF LIFE Classic Edition"	"https://www.appannie.com/apps/ios/app/the-game-of-life-classic-edition/"	"2015-04-01 12:38:40.501060"	"2015-04-01 12:38:56.472385"
48	"grossing"	16	"Match™ - Dating App to Flirt, Chat and Meet Local Single Men and Women"	"https://www.appannie.com/apps/ios/app/matchtm-dating-app-to-flirt-chat-and-meet-local-single-men-and-women/"	"2015-04-01 12:38:40.511066"	"2015-04-01 12:38:56.480569"
49	"free"	17	"Dubsmash"	"https://www.appannie.com/apps/ios/app/dubsmash/"	"2015-04-01 12:38:40.523254"	"2015-04-01 12:38:56.489287"
50	"paid"	17	"Plague Inc."	"https://www.appannie.com/apps/ios/app/plague-inc/"	"2015-04-01 12:38:40.533052"	"2015-04-01 12:38:56.500147"
51	"grossing"	17	"Pandora Radio"	"https://www.appannie.com/apps/ios/app/pandora-radio/"	"2015-04-01 12:38:40.543032"	"2015-04-01 12:38:56.509941"
52	"free"	18	"Pinterest"	"https://www.appannie.com/apps/ios/app/pinterest/"	"2015-04-01 12:38:40.553021"	"2015-04-01 12:38:56.519689"
53	"paid"	18	"Sleep Cycle alarm clock"	"https://www.appannie.com/apps/ios/app/sleep-cycle-alarm-clock/"	"2015-04-01 12:38:40.561469"	"2015-04-01 12:38:56.527868"
54	"grossing"	18	"Madden NFL Mobile"	"https://www.appannie.com/apps/ios/app/madden-nfl-mobile/"	"2015-04-01 12:38:40.573468"	"2015-04-01 12:38:56.538148"
55	"free"	19	"Twitter"	"https://www.appannie.com/apps/ios/app/333903271/"	"2015-04-01 12:38:40.582561"	"2015-04-01 12:38:56.548324"
56	"paid"	19	"Scholly: Scholarship Search"	"https://www.appannie.com/apps/ios/app/scholly-scholarship-search/"	"2015-04-01 12:38:40.591559"	"2015-04-01 12:38:56.557342"
57	"grossing"	19	"Cookie Jam"	"https://www.appannie.com/apps/ios/app/cookie-jam/"	"2015-04-01 12:38:40.600745"	"2015-04-01 12:38:56.565686"
58	"free"	20	"Trivia Crack"	"https://www.appannie.com/apps/ios/app/trivia-crack/"	"2015-04-01 12:38:40.609051"	"2015-04-01 12:38:56.573321"
59	"paid"	20	"Bloons TD 5"	"https://www.appannie.com/apps/ios/app/bloons-td-5/"	"2015-04-01 12:38:40.620060"	"2015-04-01 12:38:56.581939"
60	"grossing"	20	"Puzzle  Dragons (English)"	"https://www.appannie.com/apps/ios/app/puzzle-dragons-english/"	"2015-04-01 12:38:40.631155"	"2015-04-01 12:38:56.591845"
61	"free"	21	"Gmail - email from Google"	"https://www.appannie.com/apps/ios/app/gmail-email-from-google/"	"2015-04-01 12:38:40.639925"	"2015-04-01 12:38:56.602329"
62	"paid"	21	"Videoshop - Video Editor"	"https://www.appannie.com/apps/ios/app/videoshop-video-editor/"	"2015-04-01 12:38:40.652070"	"2015-04-01 12:38:56.611319"
