"id"	"name"	"country"	"compatibility"	"category"	"updated_date"	"size"	"seller"	"rated"	"requirements"	"bundleid"	"average_current"	"total_current"	"average_all"	"total_all"	"current1"	"current2"	"current3"	"current4"	"current5"	"all1"	"all2"	"all3"	"all4"	"all5"	"fullrank_id"	"created_at"	"updated_at"
1	"Facebook Messenger"	"United States"	" Universal"	" Social Networking"	" Mar 31, 2015"	" 68.5 MB"	" Facebook, Inc."	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.facebook.Messenger"	"3.2"	"314"	"3.1"	"280,660"	"(137)"	"(30)"	"(16)"	"(11)"	"(120)"	"(111,606)"	"(36,323)"	"(13,762)"	"(8,234)"	"(110,735)"	1	"2015-04-01 12:41:12.438893"	"2015-04-01 12:41:12.438893"
2	"Facebook"	"United States"	" Universal"	" Social Networking"	" Mar 31, 2015"	" 47.5 MB"	" Facebook, Inc."	"Rated 4+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.facebook.Facebook"	"3.2"	"1,319"	"3.7"	"2,876,614"	"(506)"	"(167)"	"(112)"	"(99)"	"(435)"	"(1,492,968)"	"(389,178)"	"(254,715)"	"(173,379)"	"(566,374)"	4	"2015-04-01 12:41:24.397511"	"2015-04-01 12:41:24.397511"
3	"Instagram"	"United States"	" iPhone, iPod touch"	" Photo and Video"	" Mar 26, 2015"	" 10.1 MB"	" Instagram, Inc."	"Rated 12+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.burbn.instagram"	"4.4"	"7,297"	"4.6"	"1,841,142"	"(5,284)"	"(961)"	"(391)"	"(200)"	"(461)"	"(1,441,233)"	"(231,289)"	"(62,740)"	"(31,229)"	"(74,651)"	7	"2015-04-01 12:41:36.367467"	"2015-04-01 12:41:36.367467"
4	"YouTube"	"United States"	" Universal"	" Photo and Video"	" Mar 30, 2015"	" 32.0 MB"	" Google, Inc."	"Rated 12+"	" Requires iOS 6.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.google.ios.youtube"	"2.6"	"1,003"	"2.6"	"150,085"	"(277)"	"(53)"	"(105)"	"(122)"	"(446)"	"(36,736)"	"(12,618)"	"(15,890)"	"(19,065)"	"(65,776)"	10	"2015-04-01 12:41:47.996116"	"2015-04-01 12:41:47.996116"
5	"Snapchat"	"United States"	" iPhone, iPod touch"	" Photo and Video"	" Mar 31, 2015"	" 23.8 MB"	" Snapchat, Inc."	"Rated 12+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.toyopagroup.picaboo"	"2.7"	"482"	"2.6"	"144,038"	"(120)"	"(54)"	"(55)"	"(55)"	"(198)"	"(31,292)"	"(17,477)"	"(19,253)"	"(16,967)"	"(59,049)"	13	"2015-04-01 12:42:00.037075"	"2015-04-01 12:42:00.037075"
6	"Pandora Radio"	"United States"	" Universal"	" Music"	" Mar 26, 2015"	" 58.8 MB"	" Pandora Media, Inc."	"Rated 12+"	" Requires iOS 6.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5."	" com.pandora"	"4.7"	"24,132"	"3.9"	"955,630"	"(20,136)"	"(2,769)"	"(511)"	"(279)"	"(437)"	"(544,732)"	"(125,790)"	"(84,867)"	"(52,270)"	"(147,971)"	16	"2015-04-01 12:42:11.957196"	"2015-04-01 12:42:11.957196"
7	"Fast & Furious: Legacy"	"United States"	" Universal"	" Games"	" Mar 26, 2015"	" 405.1 MB"	" Kabam Inc."	"Rated 12+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.kabam.ff7"	"4.7"	"4,400"	"4.7"	"4,400"	"(3,655)"	"(394)"	"(105)"	"(78)"	"(168)"	"(3,655)"	"(394)"	"(105)"	"(78)"	"(168)"	19	"2015-04-01 12:42:23.772386"	"2015-04-01 12:42:23.772386"
8	"Google Maps"	"United States"	" Universal"	" Navigation"	" Mar 19, 2015"	" 25.7 MB"	" Google, Inc."	"Rated 12+"	" Requires iOS 7.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.google.Maps"	"4.6"	"1,004"	"4.5"	"109,289"	"(758)"	"(152)"	"(33)"	"(19)"	"(42)"	"(82,887)"	"(13,861)"	"(4,306)"	"(2,941)"	"(5,294)"	22	"2015-04-01 12:42:36.200368"	"2015-04-01 12:42:36.200368"
9	"iMovie"	"United States"	" Universal"	" Photo and Video"	" Mar 26, 2015"	" 613.3 MB"	" Apple Inc."	"Rated 4+"	" Requires iOS 8.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.apple.iMovie"	"3.6"	"2,695"	"3.6"	"22,053"	"(1,210)"	"(464)"	"(315)"	"(236)"	"(470)"	"(9,208)"	"(3,896)"	"(2,931)"	"(2,053)"	"(3,965)"	25	"2015-04-01 12:42:47.695096"	"2015-04-01 12:42:47.695096"
10	"Pages"	"United States"	" Universal"	" Productivity"	" Jan 11, 2015"	" 265.2 MB"	" Apple Inc."	"Rated 4+"	" Requires iOS 8.0 or later. Compatible with iPhone, iPad, and iPod touch. This app is optimized for iPhone 5, iPhone 6, and iPhone 6 Plus."	" com.apple.Pages"	"3.4"	"462"	"3.6"	"23,933"	"(189)"	"(71)"	"(48)"	"(38)"	"(116)"	"(10,115)"	"(4,403)"	"(3,177)"	"(2,194)"	"(4,044)"	28	"2015-04-01 12:42:59.539473"	"2015-04-01 12:42:59.539473"
