"id"	"apptype"	"rank"	"name"	"link"	"created_at"	"updated_at"
1	"free"	1	"Facebook Messenger"	"http://www.appannie.com/apps/ios/app/facebook-messenger/"	"2015-03-31 17:34:18.089661"	"2015-03-31 17:34:21.513071"
2	"paid"	1	"Minecraft – Pocket Edition"	"http://www.appannie.com/apps/ios/app/minecraft-pocket-edition/"	"2015-03-31 17:34:18.139081"	"2015-03-31 17:34:21.526099"
3	"grossing"	1	"Clash of Clans"	"http://www.appannie.com/apps/ios/app/clash-of-clans/"	"2015-03-31 17:34:18.158073"	"2015-03-31 17:34:21.536162"
4	"free"	2	"Facebook"	"http://www.appannie.com/apps/ios/app/facebook/"	"2015-03-31 17:34:18.169922"	"2015-03-31 17:34:21.546129"
5	"paid"	2	"Five Nights at Freddy's 3"	"http://www.appannie.com/apps/ios/app/five-nights-at-freddys-3/"	"2015-03-31 17:34:18.187752"	"2015-03-31 17:34:21.556225"
6	"grossing"	2	"Game of War - Fire Age"	"http://www.appannie.com/apps/ios/app/game-of-war-fire-age/"	"2015-03-31 17:34:18.197121"	"2015-03-31 17:34:21.566478"
7	"free"	3	"YouTube"	"http://www.appannie.com/apps/ios/app/youtube/"	"2015-03-31 17:34:18.203351"	"2015-03-31 17:34:21.576335"
8	"paid"	3	"Heads Up!"	"http://www.appannie.com/apps/ios/app/heads-up/"	"2015-03-31 17:34:18.212789"	"2015-03-31 17:34:21.586301"
9	"grossing"	3	"Candy Crush Saga"	"http://www.appannie.com/apps/ios/app/candy-crush-saga/"	"2015-03-31 17:34:18.222191"	"2015-03-31 17:34:21.596307"
10	"free"	4	"Instagram"	"http://www.appannie.com/apps/ios/app/instagram/"	"2015-03-31 17:34:18.232605"	"2015-03-31 17:34:21.606496"
11	"paid"	4	"Enlight"	"http://www.appannie.com/apps/ios/app/enlight/"	"2015-03-31 17:34:18.241309"	"2015-03-31 17:34:21.617825"
12	"grossing"	4	"Candy Crush Soda Saga"	"http://www.appannie.com/apps/ios/app/candy-crush-soda-saga/"	"2015-03-31 17:34:18.250021"	"2015-03-31 17:34:21.647204"
13	"free"	5	"Snapchat"	"http://www.appannie.com/apps/ios/app/snapchat/"	"2015-03-31 17:34:18.259569"	"2015-03-31 17:34:21.658479"
14	"paid"	5	"Afterlight"	"http://www.appannie.com/apps/ios/app/573116090/"	"2015-03-31 17:34:18.268880"	"2015-03-31 17:34:21.669738"
15	"grossing"	5	"Big Fish Casino – Free Slots, Vegas Slots & Slot Tournaments! Plus Poker, Cards, 21 and more!"	"http://www.appannie.com/apps/ios/app/big-fish-casino-free-slots-vegas-slots-slot-tournaments-plus-poker-cards-21-and-more/"	"2015-03-31 17:34:18.283597"	"2015-03-31 17:34:21.678078"
16	"free"	6	"Pandora Radio"	"http://www.appannie.com/apps/ios/app/pandora-radio/"	"2015-03-31 17:34:18.294348"	"2015-03-31 17:34:21.686689"
17	"paid"	6	"Trivia Crack (Ad Free)"	"http://www.appannie.com/apps/ios/app/trivia-crack-ad-free/"	"2015-03-31 17:34:18.306062"	"2015-03-31 17:34:21.695881"
18	"grossing"	6	"Boom Beach"	"http://www.appannie.com/apps/ios/app/boom-beach/"	"2015-03-31 17:34:18.317248"	"2015-03-31 17:34:21.705114"
19	"free"	7	"Fast & Furious: Legacy"	"http://www.appannie.com/apps/ios/app/fast-furious-legacy/"	"2015-03-31 17:34:18.327263"	"2015-03-31 17:34:21.714676"
20	"paid"	7	"Facetune"	"http://www.appannie.com/apps/ios/app/facetune/"	"2015-03-31 17:34:18.338259"	"2015-03-31 17:34:21.723694"
21	"grossing"	7	"DoubleDown Casino - Free Slots, Video Poker, Blackjack, and More"	"http://www.appannie.com/apps/ios/app/doubledown-casino-free-slots-video-poker-blackjack-and-more/"	"2015-03-31 17:34:18.349414"	"2015-03-31 17:34:21.732275"
22	"free"	8	"iMovie"	"http://www.appannie.com/apps/ios/app/imovie/"	"2015-03-31 17:34:18.360075"	"2015-03-31 17:34:21.741617"
23	"paid"	8	"Five Nights at Freddy's"	"http://www.appannie.com/apps/ios/app/five-nights-at-freddys/"	"2015-03-31 17:34:18.370063"	"2015-03-31 17:34:21.752797"
